Nome;Email;Telefone;CPF;Origem;Procedimento;Status;Data Criação;WhatsApp
Marcos Oliveira;marcos.oliveira49@email.com;(71) 94288-5333;536.594.321-05;Indicação;Otoplastia;Contatado;2026-01-13T10:29:13.756Z;Sim
Zilda Monteiro;zilda.monteiro12@email.com;(71) 98813-2881;989.126.462-90;Site;Abdominoplastia;Novo;2026-01-12T22:13:27.027Z;Sim
Carla Oliveira;carla.oliveira45@email.com;(71) 97476-2980;862.785.021-60;TikTok;Blefaroplastia;Convertido;2026-01-12T19:40:02.686Z;Sim
Xavier Rodrigues;xavier.rodrigues53@email.com;(71) 94259-4183;848.781.584-76;Site;Blefaroplastia;Convertido;2026-01-10T12:47:30.733Z;Não
Eduarda Ferreira;eduarda.ferreira59@email.com;(71) 95292-8990;184.341.450-30;Indicação;Lipo HD;Contatado;2026-01-08T18:15:01.149Z;Não
Daniel Lima;daniel.lima22@email.com;(71) 96346-5114;646.959.941-94;Site;Mamoplastia + Abdominoplastia;Qualificado;2026-01-08T04:08:43.941Z;Sim
Eduarda Costa;eduarda.costa40@email.com;(71) 92757-2939;467.002.872-35;Instagram;Próteses;Novo;2026-01-07T13:08:24.545Z;Não
Yasmin Ferreira;yasmin.ferreira48@email.com;(71) 98783-2194;610.697.850-67;Facebook;Abdominoplastia;Novo;2026-01-07T12:01:36.387Z;Sim
Daniel Silva;daniel.silva42@email.com;(71) 98656-7573;844.982.839-29;Facebook;Rinoplastia + Otoplastia;Novo;2026-01-06T10:08:08.474Z;Não
Vinicius Nascimento;vinicius.nascimento7@email.com;(71) 98001-2371;087.002.576-72;TikTok;Próteses;Perdido;2026-01-05T07:42:17.351Z;Sim
